Unnamed: 0,Bug ID,Type,Summary,Product,Component,Status,Average_Cos_Similarity_Trigram,Average_Cos_Similarity_Bigram,Average_Cos_Similarity_Score,Resolution,Updated,Bug Id,Description,Duplicate_Bug_Ids
41,1655196,defect,High ratio of ERROR_NO_MINIDUMP_HEADER,GeckoView,General,RESOLVED,0.02284329988066074,0.02473933384253751,0.03150169416054548,DUPLICATE,2021-02-04 09:57:49,1655196,talking to  gsvelto today he pointed out that on android we have a high ratio of  error no minidump header    and there might be something fundamentally broken in our crash reporting ,1644486.0
96,1482876,defect,"Storage crash: lastInsertedRowID, 32-bit only, release v13.0",Firefox for iOS,General,RESOLVED,0.007712953252892514,0.008109709322136689,0.008482038606106945,DUPLICATE,2018-08-14 08:14:18,1482876,the brief crash report   thread   name  thread   crashed      storage                                      storage                                      storage                                      storage                          closure    in sqliteremoteclientsandtabs insertorupdatetabsforclientguid            storage                          partial apply for closure    in sqliteremoteclientsandtabs insertorupdatetabsforclientguid            storage                                      storage                                      storage                                    storage                          concretesqlitedbconnection transaction a             storage                          protocol witness for sqlitedbconnection transaction a   in conformance concretesqlitedbconnection          storage                          partial apply for specialized           storage                                   storage                          specialized dowork     a   in swiftdata withconnection a            storage                                   storage                                 ,1482487.0
142,1331985,defect,Crash: [UIApplication _cachedSystemAnimationFenceCreatingIfNecessary:] / Web Video Player / EXC_CRASH,Firefox for iOS,Browser,RESOLVED,0.026783092747171555,0.029034344903853457,0.014967901466444389,DUPLICATE,2017-04-11 06:26:10,1331985,created attachment                   crash  currently ranked    in       crashes  full log attached        looking at the logs  it seems that the relevant piece of information is that the crash is occurring while we re either showing or dismissing the video player from a web page  stack frame   last exception backtrace      corefoundation                     exceptionpreprocess           libobjc a dylib                  objc exception throw           corefoundation                     nsexception raise format arguments             foundation                         nsassertionhandler handlefailureinmethod object file linenumber description             uikit                              uiapplication  cachedsystemanimationfencecreatingifnecessary             uikit                              uiwindow  synchronizedrawingwithprecommithandler             uikit                              uiapplication  setstatusbarhidden animationparameters changeapplicationflag             uikit                              uiapplication  updatecurrentstatusbarviewcontrollerappearance            uikit                              uiviewcontroller setneedsstatusbarappearanceupdate            uikit                              uiviewcontroller  setpresentedstatusbarviewcontroller            uikit                              uiviewcontroller  dismissviewcontrollerwithanimationcontroller interactioncontroller completion            uikit                              uiviewcontroller  dismissviewcontrollerwithtransition from completion            uikit                              uiviewcontroller dismissviewcontrollerwithtransition completion            uikit                              uiviewcontroller dismissviewcontrollerwithtransition completion            uikit                              uiviewcontroller  performcoordinatedpresentordismiss animated            uikit                              uiviewcontroller dismissviewcontrolleranimated completion            avkit                              avplayerviewcontroller  transitionfromfullscreenviewcontrolleranimated completionhandler            avkit                              avplayerviewcontroller  exitfullscreenanimated completionhandler            webcore                          webcore  webvideofullscreeninterfaceavkit  exitfullscreen           webcore                          webcore  webvideofullscreeninterfaceavkit  watchdogtimerfired           webcore                          webcore  threadtimers  sharedtimerfiredinternal           webcore                          webcore  timerfired           corefoundation                     cfrunloop is calling out to a timer callback function            corefoundation                     cfrunloopdotimer          corefoundation                     cfrunloopdotimers          corefoundation                     cfrunlooprun          corefoundation                   cfrunlooprunspecific          webcore                          runwebthread           libsystem pthread dylib           pthread body          libsystem pthread dylib           pthread start          libsystem pthread dylib          thread start    ,1355440.0
326,1494388,defect,Remaining mochitest and reftest failures in TestRunnerActivity on x86 emulator,GeckoView,General,RESOLVED,0.024667131229920567,0.027099927795846517,0.0317917777117317,DUPLICATE,2019-02-06 14:40:46,1494388,   jobs repo try tier       revision    demonstrates that there are still several persistent test failures in mochitest plain and reftest plain suites on android       opt     it would be super awesome if these could be investigated and fixed or disabled ,1460411.0
692,1568667,enhancement,Extend ContentBlocking API to support Social Tracking Protection,GeckoView,General,RESOLVED,0.022836605276635186,0.02450847458447516,0.029621443338841133,DUPLICATE,2019-12-04 10:59:55,1568667,stp is a new blocklist setting we need to support  see bug   ,1568295.0
723,1561018,defect,Replace GV's Gecko telemetry snapshot API with Glean metrics API,GeckoView,General,RESOLVED,0.02364516421945611,0.025106800721430695,0.025214085565936534,DUPLICATE,2019-07-22 12:20:37,1561018,work breakdown for moving gv from the old gecko telemetry snapshot api to glean        edit gid  ,1566367.0
816,1401444,enhancement,write front end test for PWA,GeckoView,General,RESOLVED,0.021553430689954557,0.023428813808461905,0.030746280010402003,DUPLICATE,2018-12-20 08:27:20,1401444,planned test will have     before add to home screen      parse manifest for enrollment,1402805.0
1023,1618579,defect,Text selection caret is misplaced with dynamic toolbar,GeckoView,General,RESOLVED,0.026123685979848234,0.030380608424711016,0.04092545833309826,DUPLICATE,2020-03-02 14:44:21,1618579,created attachment   testcase html  load minimal example in fenix nightly  make sure the url bar is not visible and select text  observe text selection carets are shifted up from where they normally should be ,1618582.0
1213,1453515,defect,Allow files to be downloaded with MIME type application/octet-stream,Firefox for iOS,Browser,RESOLVED,0.026954492007674198,0.029512848767555975,0.0337308813660885,DUPLICATE,2018-04-30 10:07:56,1453515,when a pdf is opened in the browser firefox should download the pdf and allow apps like ibooks to open the pdf    however our detection of pdfs depends on the mimetype being  application pdf    here is a pdf that does not work  https     cloudfront net     pdf,1456276.0
1255,1478376,defect,screen.width and screen.height values are 0,GeckoView,General,RESOLVED,0.027360162668978,0.03019361441320054,0.03849199757281529,DUPLICATE,2018-12-20 08:59:39,1478376,created attachment       jpg     go to   with focus   and inspect listed values   result  screen width and screen height values are     media values are empty  and device aspect ratio returns nan   expected  fennec behaves correctly  this works fine in fennec custom tab with geckoview as well ,1475875.0
