,Bug ID,Duplicate_Bug_Ids,Average_Cos_Similarity_Trigram,Summary1,description1,summary2,description2,is_similar
0,576714.0,574220.0,0.01426270753703068,['Upgrade org.apache.sshd:sshd-core to version 2.7.0'],['affected versions of this package are vulnerable to buffer overflow  it allows an attacker to overflow the server causing an outofmemory error   reference         mina apache org      sshd commit  '],['Apache MINA sshd: update to 2.7.0'],['update the dependency and remove work around introduced for problems in         add sshd osgi and sshd sftp       to orbit   '],1
1,517250.0,517249.0,0.014450736196881794,['[release] Eclipse Oxygen (4.7)'],['we ll use this bug to track the release  we require ip team approval of the ip log  ip log has been uploaded    bug cgi id    we require pmc approval of the release and review materials  review material          release review'],['[release] eclipse 4.7.0'],['we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials '],1
2,538671.0,538670.0,0.013392496975288591,['JIPP for Concurrency Utilities RI'],['please create a jipp for the   eclipse project for concurrency utilities  '],['JIPP for Concurrency Utilities API'],['please create a jipp for the   eclipse project for concurrency utilities  '],1
4,539770.0,552928.0,0.011420635590174998,"['The ""allow cookies"" notice appears for every single page access in the wiki']",['i am prompted to accept cookies with every page access in the wiki     this only seems to happen under https  afaict  i m asked exactly once when i connect anonymously via http   '],"[""'allow cookies' banner re-appears after every page switch""]",['using firefox         the  allow cookies  banner keeps appearing whenever i switch a page of the eclipse wiki  this behavior is really annoying '],1
5,543311.0,543300.0,0.009619918608316822,['login page is not working'],['login page is not openinng'],['ide page is not open'],['enter url  click on ide blog page not open reproducability   blocker uday'],1
7,520810.0,520619.0,0.0071570270862787,['Language switcher does not work'],['section with projects is empty when selecting any language   '],"['Babel nightly build failed with ""cat: write error: No space left on device""']",['babel nightly build failed with  cat  write error  no space left on device   i tried to cleanup old backup files but didn t help  is it possible to allocate more space to babel eclipse org '],1
9,563091.0,563075.0,0.007853495916213243,"[""Builds fail with Unrecognized VM option 'IdleTuningCompactOnIdle'""]",['lemminx builds started to fail yesterday with  unrecognized vm option  idletuningcompactonidle          pipeline  builds use jdk  adoptopenjdk hotspot   latest   as seen in     '],['Wrong parameter in standard mvn options'],['since today i get the following error message in the antenna build   mvn   dmaven repo local  home jenkins agent workspace build pipeline localrepository    batch mode install  dskiptests  dskipits   drevision       snapshot  picked up java tool options   xx  ignoreunrecognizedvmoptions  xx  usecontainersupport  xx  idletuningcompactonidle  xx  idletuninggconidle unrecognized vm option  idletuningcompactonidle  error  could not create the java virtual machine  error  a fatal exception has occurred  program will exit   the vm option is not set by us  so it seems to come from the standard maven options  did you change something  can you fix it '],1
10,564131.0,564121.0,0.006358201643753233,['Jobs are failing with failing to resolve download.eclipse.org or repo.eclipse.org'],['we have multiple failures on platform jipp    gerrit      gerrit      gerrit     all subsequent builds'],['tycho running on build cluster name resolution is flaky'],['during a build on platform ui i got the following error  somehow download eclipse org was not known  also there seem to be many bugs related to time out missing data on download eclipse org     gerrit   console         error  failed to execute goal org eclipse tycho extras tycho   extras plugin       compare version with baselines   on project org eclipse ui tests forms  could not mirror artifact osgi bundle org eclipse ui tests forms           into the local maven repository see log output for details  unknown host download eclipse org     help           error  failed to execute goal org eclipse tycho tycho   plugin         metadata default   on project org eclipse ui tests navigator  execution default   metadata default of goal org eclipse tycho tycho   plugin         metadata default failed  error trying to download org eclipse ui tests navigator version           from      i builds             error  download of osgi bundle org eclipse ui tests navigator           failed on repository      i builds      retrying           error     unknown host       i builds     plugins org eclipse ui tests           jar  unknown host download eclipse org        error      help           error  failed to execute goal org eclipse tycho tycho   plugin         metadata default   on project org eclipse ui tests pluginchecks  execution default   metadata default of goal org eclipse tycho tycho   plugin         metadata default failed  error trying to download org eclipse ui tests pluginchecks version           from      i builds             error  download of osgi bundle org eclipse ui tests pluginchecks           failed on repository      i builds      retrying           error     unknown host       i builds     plugins org eclipse ui tests           jar  unknown host download eclipse org        error      help           error          error  to see the full stack trace of the errors  re run maven with the  e switch         error  re run maven using the  x switch to enable full debug logging         error          error  for more information about the errors and possible solutions  please read the following articles         error   help             error   help             error          error  after correcting the problems  you can resume the build with the command        error    mvn  args   rf  org eclipse ui tests forms'],1
11,576924.0,576923.0,0.0015286033414460515,['Gerrit down'],['  gives     bad gateway nginx'],['Unable to access Gerrit. Getting 502 bad gateway message.'],['unable to acccess gerrit  the url   gives   bad gateway error'],1
12,528219.0,529487.0,0.010715909145037601,['Migrate EMF to tycho build'],['emf will need to build with tycho soon  as the old jar signer is being deprecated   removed soon '],['Migrate EMF/XSD build to Tycho'],['the initial tycho build prototype for emf and xsd is now functional   each of the two repos has a tycho migration branch     h tycho migration   h tycho migration  emf s jipp is hosted here      i ve configured it to allow read only anonymous access to the integration job s configuration and its workspace      the build is configured to check out both git repositories and builds the overall combination of the two  xsd s doc  examples  features  and plugins poms are parented by the same parents as emf s doc  examples  features  and plugins poms   this is done via relative paths that assume the two clones are co located in the same folder and are named org eclipse xsd and org eclipse emf    the emf setup in combination with the xsd setup produce this structure by default on each developer s local machine so the developer can easily run a local maven tycho build    in the job workspace  the clones are located in git org eclipse emf and git org eclipse xsd   all of emf   and xsd are covered by the build  the target platform is based on juno  tweaked to allow the xcore tests to run with a     bree  all the tests are executed and pass  a   update site is produced  much more remains to be done  e g   promotion of the update site   also  all the manifest mfs have no version range bounds on the plugin dependencies  there were injected by the buckminster build but now will need to be managed  so until that process is done  no build can be promoted   the goal is to have explicit jlower bounds based on compatibility with juno '],1
14,513426.0,513431.0,0.01458716687593135,"['wiki.eclipse.org is ""down"" with MediaWiki 1.26 internal error Installing some external dependencies (e.g. via composer) is required.']",['  currently shows   mediawiki     internal error  installing some external dependencies   is required  external dependencies  mediawiki now also has some external dependencies that need to be installed via composer or from a separate git repo  please see mediawiki org for help on installing the required components      '],['https://wiki.eclipse.org/ is broken'],['trying to open any wiki page i get the following error    mediawiki     internal error  installing some external dependencies   is required   external dependencies  mediawiki now also has some external dependencies that need to be installed via composer or from a separate git repo  please see mediawiki org for help on installing the required components '],1
